_id,,,,,,ENG110,ENG105,ENG106,MAT111,MAT121,MAT225,MAT224,MAT221,BLL101,PHY110,PHY110L,CHE101,SOC101,ECN200,BDS102,MGT301,ACN201,LFE201,EEE110,EEE110L,EEE210,EEE210L,CSE101,CSE115,CSE115L,CSE225,CSE225L,CSE213,CSE213L,CSE311,CSE311L,CSE329,CSE329L,CSE317,CSE111,CSE205,CSE205L,CSE305,CSE305L,CSE341,CSE341L,CSE331,CSE331L,CSE330,CSE330L,CSE340,CSE340L,CSE413,CSE413L,CSE445,CSE445L,CSE435,CSE435L,CSE321,CSE471,CSE498,CSE406,CSE425,CSE452,CSE421,EEE415,If you completed any other optional course except the above [add the course code and title]
22202020,,,,,,22202020,,,22202020,,,,,,22202020,22202020,,,,,,,,,,,,22202020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202018,,,,,,22202018,,,22202018,,,,,,22202018,22202018,,,,,,,,,,,,22202018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
22202017,,,,,,22202017,,,22202017,,,,,,22202017,22202017,,,,,,,,,,,,22202017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202015,,,,,,22202015,,,22202015,,,,,,22202015,22202015,,,,,,,,,,,,22202015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202013,,,,,,22202013,,,22202013,,,,,,22202013,22202013,,,,,,,,,,,,22202013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202010,,,,,,22202010,,,22202010,,,,,,22202010,22202010,,,,,,,,,,,,22202010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202009,,,,,,22202009,,,22202009,,,,,,22202009,22202009,,,,,,,,,,,,22202009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202007,,,,,,22202007,,,22202007,,,,,,22202007,22202007,,,,,,,,,,,,22202007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202006,,,,,,22202006,,,22202006,,,,,,22202006,22202006,,,,,,,,,,,,22202006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202005,,,,,,22202005,,22202005,22202005,,,,,,22202005,22202005,,,,,,22202005,,22202005,22202005,22202005,22202005,22202005,,,,,,,,,,,,22202005,,,,,,,,,,,,,,,,,,,,,,,,,,,22202005
22202004,,,,,,22202004,,,22202004,,,,,,22202004,22202004,,,,,,,,,,,,22202004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202002,,,,,,22202002,,,22202002,,,,,,22202002,22202002,,,,,,,,,,,,22202002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22202001,,,,,,22202001,,,22202001,,,,,,22202001,22202001,,,,,,,,,,,,22202001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21302009,,,,,,21302009,21302009,21302009,21302009,,21302009,,,,21302009,21302009,,,,21302009,21302009,,,21302009,21302009,21302009,21302009,21302009,21302009,21302009,,,21302009,21302009,21302009,21302009,,,,21302009,21302009,21302009,21302009,21302009,21302009,21302009,,,,,,,,,,,,,,,,,,,,,
21302008,,,,,,21302008,,,21302008,21302008,21302008,,,21302008,21302008,21302008,,,,,,,,21302008,21302008,,,21302008,21302008,21302008,,,,,,,,,,21302008,21302008,21302008,,,,,,,,,,,,,,,,,,,,,,,,,
21302006,,,,,,21302006,,,21302006,21302006,,,,,21302006,21302006,,,,21302006,,,,21302006,21302006,,,21302006,21302006,21302006,,,,,,,,,,21302006,21302006,21302006,,,,,,,,,,,,,,,,,,,,,,,,,
21302005,,,,,,21302005,,,21302005,21302005,,,,,21302005,21302005,,,,,,,,21302005,21302005,,,21302005,21302005,21302005,,,,,,,,,,21302005,21302005,21302005,,,,,,,,,,,,,,,,,,,,,,,,,
21302003,,,,,,21302003,21302003,,21302003,21302003,,,,,21302003,21302003,,,,,,21302003,,21302003,21302003,,,21302003,21302003,21302003,,,,,,,,,,21302003,21302003,21302003,,,,,,,,,,,,,,,,,,,,,,,,,
21202014,,,,,,21202014,,21202014,21202014,21202014,21202014,,21202014,,21202014,21202014,,,,21202014,,,,21202014,21202014,21202014,21202014,21202014,21202014,21202014,,,,,,,,,,21202014,21202014,21202014,,,,,,,,,,,,,,,,,,,,,,,,,
21202010,,,,,,21202010,,21202010,21202010,21202010,21202010,,,21202010,21202010,21202010,,,,,,,,21202010,21202010,21202010,21202010,21202010,21202010,21202010,21202010,21202010,,,,,,,,21202010,21202010,21202010,,,,,,,,,,,,,,,,,,,,,,,,,
21202009,,,,,,21202009,,,21202009,21202009,21202009,,,,21202009,21202009,,,21202009,,,21202009,,21202009,21202009,21202009,21202009,21202009,21202009,21202009,21202009,21202009,,,,,,,,21202009,21202009,21202009,,,,,,,,,,,,,,,,,,,,,,,,,
21202004,,,,,,21202004,,21202004,21202004,21202004,21202004,21202004,21202004,,21202004,21202004,,,,,,,,21202004,21202004,21202004,21202004,21202004,21202004,21202004,21202004,21202004,,,,,,,,21202004,21202004,21202004,,,21202004,21202004,,,,,,,,,,,,,,,,,,,,,
